No,Customer,Total,Paid,Change,PaymentMethod,Status,CreatedAt
66,Finno,"Rp 105.000","Rp 150.000","Rp 45.000",Cash,Completed,"2024-09-03 09:53:06"
67,Finno,"Rp 270.000","Rp 300.000","Rp 30.000",Cash,Completed,"2024-09-04 09:53:52"
68,Finno,"Rp 150.000","Rp 200.000","Rp 50.000",Cash,Completed,"2024-09-05 09:54:33"
69,Finno,"Rp 380.000","Rp 400.000","Rp 20.000",Cash,Completed,"2024-09-06 09:54:59"
70,Finno,"Rp 395.000","Rp 400.000","Rp 5.000",Cash,Completed,"2024-09-07 09:55:56"
71,Alexx,"Rp 380.000","Rp 400.000","Rp 20.000",Cash,Completed,"2024-10-01 10:00:12"
72,Alexx,"Rp 580.000","Rp 600.000","Rp 20.000",Cash,Completed,"2024-10-02 10:01:17"
73,Alexx,"Rp 520.000","Rp 600.000","Rp 80.000",Cash,Completed,"2024-10-03 10:02:01"
74,Alexx,"Rp 665.000","Rp 700.000","Rp 35.000",Cash,Completed,"2024-10-04 10:02:46"
75,Alexx,"Rp 285.000","Rp 300.000","Rp 15.000",Cash,Completed,"2024-10-05 10:03:09"
76,Alexx,"Rp 270.000","Rp 300.000","Rp 30.000",Cash,Completed,"2024-10-06 10:03:34"
77,Alexx,"Rp 132.000","Rp 200.000","Rp 68.000",Cash,Completed,"2024-10-07 10:04:13"
78,Fiqoo,"Rp 170.000","Rp 200.000","Rp 30.000",Cash,Completed,"2024-11-01 10:12:17"
79,Fiqoo,"Rp 340.000","Rp 400.000","Rp 60.000",Cash,Completed,"2024-11-02 10:12:42"
80,Fiqoo,"Rp 195.000","Rp 200.000","Rp 5.000",Cash,Completed,"2024-11-03 10:13:04"
81,Fiqoo,"Rp 340.000","Rp 400.000","Rp 60.000",Cash,Completed,"2024-11-04 10:13:24"
82,Fiqoo,"Rp 213.000","Rp 250.000","Rp 37.000",Cash,Completed,"2024-11-05 10:13:47"
83,Fiqoo,"Rp 235.000","Rp 250.000","Rp 15.000",Cash,Completed,"2024-11-06 10:14:19"
84,Fiqoo,"Rp 195.000","Rp 200.000","Rp 5.000",Cash,Completed,"2024-11-07 10:14:50"
85,Fiqoo,"Rp 220.000","Rp 250.000","Rp 30.000",Cash,Completed,"2024-11-08 10:15:11"
